DateTimeStamp,temperature C,salinity psu,DO_mgl,depth m,pH,turbidity
2017-04-13,4.4,31.3,12.4,0.76,8.1,
2017-04-13,4.3,31.2,12.4,0.76,8.1,
2017-04-13,4.4,31.2,12.4,0.75,8.1,
2017-04-13,4.3,31.3,12.3,0.75,8.1,
2017-04-13,4.2,31.3,12.3,0.74,8.1,
2017-04-13,4.5,31.3,12.4,0.74,8.1,
2017-04-13,4.3,31.3,12.4,0.74,8.1,
2017-04-13,4.7,31.2,12.5,0.74,8.1,
2017-04-13,4.4,31.3,12.5,0.74,8.1,
2017-04-13,4.5,31.3,12.5,0.74,8.1,
2017-04-13,4.3,31.3,12.4,0.73,8.1,
2017-04-13,4.2,31.3,12.5,0.73,8.1,
2017-04-13,4.3,31.3,12.5,0.73,8.1,
2017-04-13,4.3,31.3,12.5,0.73,8.1,
2017-04-13,4.3,31.3,12.5,0.73,8.1,
2017-04-13,4.5,31.3,12.6,0.73,8.1,
2017-04-13,4.5,31.3,12.7,0.73,8.2,
2017-04-13,4.6,31.3,12.7,0.73,8.2,
2017-04-13,4.6,31.3,12.7,0.74,8.2,
2017-04-13,4.6,31.3,12.7,0.74,8.2,
2017-04-13,4.5,31.3,12.7,0.74,8.2,
2017-04-13,4.6,31.3,12.7,0.74,8.2,
2017-04-13,4.5,31.3,12.7,0.74,8.2,
2017-04-13,4.6,31.3,12.7,0.74,8.2,
2017-04-13,4.6,31.3,12.7,0.74,8.2,
2017-04-13,4.6,31.3,12.7,0.74,8.2,
2017-04-13,4.7,31.2,12.8,0.75,8.2,
2017-04-13,4.7,31.3,12.8,0.75,8.2,
2017-04-13,4.8,31.2,12.9,0.75,8.2,
2017-04-13,4.9,31.2,12.9,0.75,8.2,
2017-04-13,4.6,31.2,12.7,0.75,8.2,
2017-04-13,5.1,31.2,13.1,0.75,8.2,
2017-04-13,5,31.2,13.1,0.75,8.2,
2017-04-13,5.1,31.2,13.1,0.75,8.2,
2017-04-13,5.1,31.2,13.2,0.75,8.2,
2017-04-13,5.2,31.2,13.3,0.76,8.2,
2017-04-13,5.2,31.2,13.3,0.76,8.3,
2017-04-13,5.2,31.2,13.4,0.76,8.3,
2017-04-13,5.2,31.2,13.3,0.76,8.2,
2017-04-13,5.2,31.2,13.4,0.76,8.3,
2017-04-14,5.3,31.1,13.4,0.76,8.3,
2017-04-14,5.2,31.1,13.5,0.76,8.3,
2017-04-14,5.4,31.1,13.7,0.76,8.3,
2017-04-14,5.3,31.1,13.6,0.76,8.3,
2017-04-14,5.3,31.1,13.6,0.76,8.3,
2017-04-14,5.3,31.1,13.5,0.76,8.3,
2017-04-14,5.3,31.1,13.5,0.76,8.3,
2017-04-14,5.2,31.2,13.4,0.76,8.3,
