time,chlorophyll
20170602T21:00:00Z,3.9
20170602T21:15:00Z,5.6
20170602T21:30:00Z,8.2
20170602T21:45:00Z,8.3
20170602T22:00:00Z,7
20170602T22:15:00Z,8.7
20170602T22:30:00Z,8.9
20170602T22:45:00Z,7.9
20170602T23:00:00Z,7.4
20170602T23:15:00Z,7.4
20170602T23:30:00Z,6.6
20170602T23:45:00Z,5.7
20170603T00:00:00Z,10.9
20170603T00:15:00Z,8.4
20170603T00:30:00Z,7.4
20170603T00:45:00Z,6.7
20170603T01:00:00Z,5.4
20170603T01:15:00Z,4.3
20170603T01:30:00Z,2.9
20170603T01:45:00Z,5.5
20170603T02:00:00Z,4.4
20170603T02:15:00Z,3.3
20170603T02:30:00Z,4.5
20170603T02:45:00Z,3.8
20170603T03:00:00Z,3
20170603T03:15:00Z,4.7
20170603T03:30:00Z,3.8
20170603T03:45:00Z,1.5
20170603T04:00:00Z,4.6
20170603T04:15:00Z,4.5
20170603T04:30:00Z,5.8
20170603T04:45:00Z,5.1
20170603T05:00:00Z,4.8
20170603T05:15:00Z,5.1
20170603T05:30:00Z,5.1
20170603T05:45:00Z,3.8
20170603T06:00:00Z,5.3
20170603T06:15:00Z,8.5
20170603T06:30:00Z,10.3
20170603T06:45:00Z,10.4
20170603T07:00:00Z,12.8
20170603T07:15:00Z,13.9
20170603T07:30:00Z,13.1
20170603T07:45:00Z,11.6
20170603T08:00:00Z,10.6
20170603T08:15:00Z,7
20170603T08:30:00Z,12.8
20170603T08:45:00Z,11.7
20170603T09:00:00Z,13.7
20170603T09:15:00Z,17.5
20170603T09:30:00Z,14.5
20170603T09:45:00Z,16
20170603T10:00:00Z,16.8
20170603T10:15:00Z,14
20170603T10:30:00Z,12.2
20170603T10:45:00Z,11.3
20170603T11:00:00Z,13.2
20170603T11:15:00Z,17.7
20170603T11:30:00Z,17.5
20170603T11:45:00Z,18.2
20170603T12:00:00Z,16.2
20170603T12:15:00Z,11.1
20170603T12:30:00Z,12.1
20170603T12:45:00Z,15.5
20170603T13:00:00Z,11.9
20170603T13:15:00Z,11.9
20170603T13:30:00Z,11.8
20170603T13:45:00Z,13.8
20170603T14:00:00Z,12
20170603T14:15:00Z,13.9
20170603T14:30:00Z,9.4
20170603T14:45:00Z,5.4
20170603T15:00:00Z,6.3
20170603T15:15:00Z,5.8
20170603T15:30:00Z,5.4
20170603T15:45:00Z,4.9
20170603T16:00:00Z,4.8
20170603T16:15:00Z,4.6
20170603T16:30:00Z,4.1
20170603T16:45:00Z,3.6
20170603T17:00:00Z,4.2
20170603T17:15:00Z,4.7
20170603T17:30:00Z,4.7
20170603T17:45:00Z,5
20170603T18:00:00Z,5.9
20170603T18:15:00Z,6.2
20170603T18:30:00Z,4.8
20170603T18:45:00Z,7.2
20170603T19:00:00Z,6
20170603T19:15:00Z,6.8
20170603T19:30:00Z,8.2
20170603T19:45:00Z,6.9
20170603T20:00:00Z,8.6
20170603T20:15:00Z,9.5
20170603T20:30:00Z,10.3
20170603T20:45:00Z,9.7
20170603T21:00:00Z,8.6
20170603T21:15:00Z,8.6
20170603T21:30:00Z,8.3
20170603T21:45:00Z,10.4
20170603T22:00:00Z,11.1
20170603T22:15:00Z,10.1
20170603T22:30:00Z,7.9
20170603T22:45:00Z,8.9
20170603T23:00:00Z,9.1
20170603T23:15:00Z,8.5
20170603T23:30:00Z,9.5
20170603T23:45:00Z,11.7
20170604T00:00:00Z,9.4
20170604T00:15:00Z,9.8
20170604T00:30:00Z,8.7
20170604T00:45:00Z,8.8
20170604T01:00:00Z,8.4
20170604T01:15:00Z,7.7
20170604T01:30:00Z,8.5
20170604T01:45:00Z,7.9
20170604T02:00:00Z,6.7
20170604T02:15:00Z,5.7
20170604T02:30:00Z,6.1
20170604T02:45:00Z,4.6
20170604T03:00:00Z,5.1
20170604T03:15:00Z,4.9
20170604T03:30:00Z,6.5
20170604T03:45:00Z,5.2
20170604T04:00:00Z,3.8
20170604T04:15:00Z,6.1
20170604T04:30:00Z,4.3
