alkalinity,tco2,pco2,co2,pHt,salinity,temp,year
2112.44,1972.44,418.81,18.39,8.003,30.718,10.719,2017
2092.38,1959.72,435.46,19.05,7.985,30.538,10.876,2017
1971.65,1861.73,450.71,19.85,7.954,28.532,11.019,2017
1979.57,1864.29,438.43,19.25,7.965,28.827,11.056,2017
1945.88,1837.84,448.22,19.66,7.952,28.223,11.201,2017
1902.36,1800.99,453.11,19.88,7.94,27.703,11.285,2017
1870.9,1775.08,457.22,20.12,7.931,27.1715,11.287,2017
1936.1,1832.53,462.97,20.25,7.937,28.232,11.274,2017
1992.45,1870.78,422.53,18.51,7.982,28.8075,11.133,2017
2026.95,1898.38,420.38,18.34,7.989,29.5895,11.127,2017
2037.36,1907.67,413.8,18.31,7.996,29.7205,10.671,2017
2057.06,1925.57,415.95,18.42,7.997,29.929,10.611,2017
2030.18,1903.77,420.64,18.64,7.988,29.707,10.619,2017
1989.11,1870.46,427.02,18.96,7.976,29.197,10.6515,2017
1936.92,1826.32,428.77,19.1,7.966,28.443,10.679,2017
1800.54,1716.7,460.05,20.69,7.916,26.211,10.79,2017
1772.53,1695.8,474.86,21.43,7.898,25.741,10.754,2017
1796.63,1717.63,476.75,21.49,7.901,25.999,10.748,2017
1880.63,1783.95,451.57,20.08,7.938,27.2275,10.945,2017
1851.59,1759.32,453.96,20.26,7.93,26.899,10.902,2017
1931.74,1825.49,441.34,19.63,7.954,28.1725,10.778,2017
1971.63,1852.81,416.41,18.52,7.983,28.771,10.679,2017
2002.18,1875.84,406.99,18.09,7.997,29.318,10.595,2017
2049.44,1916.64,408.33,18.09,8.003,29.829,10.606,2017
2026.81,1897.69,411.47,18.23,7.996,29.741,10.624,2017
1971.73,1855.39,423.58,18.88,7.977,28.785,10.608,2017
1925.57,1814.95,419.83,18.78,7.973,28.101,10.609,2017
1790.82,1701.25,425.59,19.33,7.945,25.9955,10.526,2017
1716.91,1640.17,437.82,20.06,7.92,24.8475,10.46,2017
1740.86,1661.6,440.84,20.14,7.921,25.277,10.472,2017
1762.59,1681.1,441.69,20.16,7.925,25.492,10.466,2017
1793.88,1710.23,447.65,20.41,7.926,25.869,10.428,2017
