Date,SST
2017-06-01,11.5
2017-06-01,11.5
2017-06-01,11.72
2017-06-01,11.89
2017-06-01,12.11
2017-06-01,12.5
2017-06-01,12.78
2017-06-01,12.72
2017-06-01,12.61
2017-06-01,12.61
2017-06-01,12.61
2017-06-01,12.28
2017-06-01,12.28
2017-06-01,12.11
2017-06-01,12.22
2017-06-01,12.22
2017-06-01,12.22
2017-06-01,12.72
2017-06-01,12.5
2017-06-01,12.61
2017-06-01,12.78
2017-06-01,14.11
2017-06-01,13.61
2017-06-01,12.72
2017-06-02,12.39
2017-06-02,12.28
2017-06-02,12.39
2017-06-02,12.39
2017-06-02,12.39
2017-06-02,12.72
2017-06-02,13.11
2017-06-02,13.39
2017-06-02,13.11
2017-06-02,13.11
2017-06-02,13.39
2017-06-02,13.39
2017-06-02,13.28
2017-06-02,12.89
2017-06-02,12.78
2017-06-02,12.78
2017-06-02,12.89
2017-06-02,13
2017-06-02,13
2017-06-02,13.22
2017-06-02,13.39
2017-06-02,13.72
2017-06-02,14.28
2017-06-02,14.11
2017-06-03,13.5
2017-06-03,13.28
2017-06-03,13.28
2017-06-03,13.28
2017-06-03,13.28
2017-06-03,13.28
2017-06-03,13.5
2017-06-03,14.11
2017-06-03,14.5
2017-06-03,14.28
2017-06-03,14.28
2017-06-03,14.5
2017-06-03,14.28
2017-06-03,13.89
2017-06-03,13.28
2017-06-03,12.78
2017-06-03,12.72
2017-06-03,12.89
2017-06-03,13.11
2017-06-03,13.28
2017-06-03,14
2017-06-03,14
2017-06-03,14.5
2017-06-03,14.5
2017-06-04,14.61
2017-06-04,13.61
2017-06-04,12.89
2017-06-04,12.39
2017-06-04,12.22
2017-06-04,12.22
2017-06-04,12.22
2017-06-04,12.39
2017-06-04,13.61
2017-06-04,13.22
2017-06-04,13.39
2017-06-04,13.72
2017-06-04,14.28
2017-06-04,14.39
2017-06-04,14.11
2017-06-04,12.72
2017-06-04,11.61
2017-06-04,11.39
2017-06-04,11.5
2017-06-04,11.89
2017-06-04,12.39
2017-06-04,12.78
2017-06-04,13.28
2017-06-04,14.28
2017-06-05,14.89
2017-06-05,14.28
2017-06-05,12.61
2017-06-05,11.89
2017-06-05,11.89
2017-06-05,11.72
2017-06-05,11.72
2017-06-05,11.61
2017-06-05,12.78
2017-06-05,12.39
2017-06-05,12.72
2017-06-05,13
2017-06-05,13.39
2017-06-05,14.22
2017-06-05,14.5
2017-06-05,13.72
2017-06-05,11.22
2017-06-05,10.72
2017-06-05,10.61
2017-06-05,10.72
2017-06-05,11
2017-06-05,11.5
2017-06-05,12
2017-06-05,12.72
2017-06-06,13.39
2017-06-06,13.89
2017-06-06,13.39
2017-06-06,11.72
2017-06-06,11.22
2017-06-06,11.11
2017-06-06,11
2017-06-06,11
2017-06-06,11
2017-06-06,12.5
2017-06-06,11.89
2017-06-06,12.5
2017-06-06,12.78
2017-06-06,13.39
2017-06-06,14.72
2017-06-06,14.61
2017-06-06,12.11
2017-06-06,10.39
2017-06-06,10
2017-06-06,10
2017-06-06,10.11
2017-06-06,10.28
2017-06-06,10.72
2017-06-06,11.28
2017-06-07,11.89
2017-06-07,13
2017-06-07,14.22
2017-06-07,13.22
2017-06-07,11
2017-06-07,10.72
2017-06-07,10.72
2017-06-07,10.78
2017-06-07,10.78
2017-06-07,12.11
2017-06-07,11.78
2017-06-07,11.89
2017-06-07,12.22
2017-06-07,12.61
2017-06-07,13.5
2017-06-07,14.39
2017-06-07,13.22
2017-06-07,11.28
2017-06-07,10.61
2017-06-07,10.61
2017-06-07,10.61
2017-06-07,10.61
2017-06-07,10.78
2017-06-07,12.11
2017-06-08,11.89
2017-06-08,12.11
2017-06-08,13
2017-06-08,13.11
2017-06-08,12
2017-06-08,11.78
2017-06-08,11.78
2017-06-08,11.78
2017-06-08,11.78
2017-06-08,12
2017-06-08,12.11
2017-06-08,12.28
2017-06-08,12.22
2017-06-08,12.39
2017-06-08,12.78
2017-06-08,14
2017-06-08,14
2017-06-08,12.89
2017-06-08,12
2017-06-08,11.89
2017-06-08,11.89
2017-06-08,11.89
2017-06-08,11.89
2017-06-08,12.28
2017-06-09,12.78
2017-06-09,12.72
2017-06-09,12.89
2017-06-09,13.39
2017-06-09,13.28
2017-06-09,12.72
2017-06-09,12.5
2017-06-09,12.22
2017-06-09,12.22
2017-06-09,12.28
2017-06-09,12.61
2017-06-09,12.72
2017-06-09,12.61
2017-06-09,12.72
2017-06-09,13
2017-06-09,13.5
2017-06-09,14.22
2017-06-09,13.72
2017-06-09,12.89
2017-06-09,12.61
2017-06-09,12.72
2017-06-09,12.72
2017-06-09,12.72
2017-06-09,13.11
2017-06-10,13.61
2017-06-10,13.78
2017-06-10,13.5
2017-06-10,13.78
2017-06-10,13.61
2017-06-10,13.39
2017-06-10,13.28
2017-06-10,13.28
2017-06-10,13.22
2017-06-10,13.22
2017-06-10,13.22
2017-06-10,13.28
2017-06-10,13.28
2017-06-10,13.28
2017-06-10,13.39
2017-06-10,13.61
2017-06-10,14.11
2017-06-10,14.22
2017-06-10,13.72
2017-06-10,13.11
2017-06-10,13.11
2017-06-10,13.22
2017-06-10,13.22
